Sloan Digital Sky Survey Quasar Catalog V.  Data Release 7            Creation Date:  30 Mar 2010

Column  C1  C2  Format          Description
   1     1  18   A18     DR7 Object Designation   hhmmss.ss+ddmmss.s  (J2000; truncated coordinates)
   2    19  29   F11.6   R.A.(J2000) in degrees
   3    30  40   F11.6   Dec.(J2000) in degrees
   4    41  47   F7.4    Redshift
   5    48  54   F7.3    u PSF magnitude           SDSS photometric measurements are asinh magnitudes (Lupton, Gunn, and Szalay 1999, AJ, 118, 1406) and are normalized (to ~3% accuracy) to the AB-magnitude system (Oke and Gunn 1983, ApJ, 266, 713)
   6    55  60   F6.3    error in u PSF magnitude  Note that the ugriz magnitudes are not corrected for Galactic absorption.
   7    61  67   F7.3    g PSF magnitude           All measurements in columns 5-14 are from BEST processing if available.    0.000 ==> cannot retrieve value from SDSS database
   8    68  73   F6.3    g PSF magnitude error
   9    74  80   F7.3    r PSF magnitude
  10    81  86   F6.3    r PSF magnitude error
  11    87  93   F7.3    i PSF magnitude
  12    94  99   F6.3    i PSF magnitude error
  13   100 106   F7.3    z PSF magnitude
  14   107 112   F6.3    z PSF magnitude error
  15   113 119   F7.3    Galactic absorption in u band (magnitudes)       A_g, A_r, A_i, A_z = 0.736, 0.534, 0.405, 0.287 x A_u
  16   120 126   F7.3    log [Galactic HI column density]
  17   127 133   F7.3    FIRST Peak flux density (AB mag) at 20 cm  (AB mag = -2.5 log_10 [f_nu / 3631 Jy])     0.000 ==> no detection    -1.000 ==> not in FIRST survey area
  18   134 141   F8.3    S/N ratio for FIRST flux
  19   142 148   F7.3    SDSS/FIRST separation (arc seconds)
  20   149 156   F8.3    log RASS BSC/FSC full band count rate (counts/second)     -9.000 ==> no detection          X-ray data from ROSAT All Sky Survey  Bright and Faint source catalogs
  21   157 163   F7.3    S/N ratio for RASS count rate
  22   164 170   F7.3    SDSS/RASS separation (arc seconds)
  23   171 177   F7.3    2MASS J magnitude          All 2MASS data are from the 2MASS All-Sky Data Release  Point Source Catalog (PSC)   2003 March 25      0.000 ==> no detection
  24   178 183   F6.3    2MASS J magnitude error                    ** Note that 2MASS measurements are Vega-based, not AB, magnitudes **
  25   184 190   F7.3    2MASS H magnitude
  26   191 196   F6.3    2MASS H magnitude error
  27   197 203   F7.3    2MASS K magnitude
  28   204 209   F6.3    2MASS K magnitude error
  29   210 216   F7.3    SDSS/2MASS separation (arc seconds)
  30   217 219   I3      2MASS Flag = 9*JFLAG+3*HFLAG+KFLAG  Individual filter flags   0 = No Detection   1 = Catalog Match  2 = New Photometry on Images
  31   220 227   F8.3    M_i  (Absolute i magnitude for Ho:  70.0     Omega_M:   0.300     Omega_L:   0.700     alpha_Q: -0.50)
  32   228 234   F7.3    Delta(g-i)  Offset in magnitudes of the quasar (g-i) from the mode of the distribution of (g-i) of quasars at this redshift.  A value of -9.0 indicates too few quasars at redshift to form mean relation.  (All colors corrected for Galactic extinction)
  33   235 237   I3      Morphology flag            0 = point source      1 = extended
  34   238 240   I3      SCIENCEPRIMARY flag        0 = Object is not SCIENCEPRIMARY       1 = Object is SCIENCEPRIMARY
  35   241 243   I3      SDSS MODE flag (blends, overlapping scans)    1 = Primary object      2 = Secondary observation      3 = Family observation
  36   244 246   I3      Uniform target selection flag     (0 = not selected with final algorithm    1 = selected with final algorithm
  37   247 258   I12     Target selection flag (BEST)
  38   259 261   I3      Low-z Quasar (color selection only) target flag           0 = not targeted as low-z quasar        1 = targeted as low-z quasar
  39   262 264   I3      High-z Quasar (color selection only) target flag          0 = not targeted as high-z quasar       1 = targeted as high-z quasar
  40   265 267   I3      FIRST target flag           0 = not targeted as FIRST        1 = targeted as FIRST
  41   268 270   I3      ROSAT target flag           0 = not targeted as ROSAT        1 = targeted as ROSAT
  42   271 273   I3      Serendipity target flag     0 = not targeted as serendipity  1 = targeted as serendipity
  43   274 276   I3      Star target flag            0 = not targeted as star         1 = targeted as star
  44   277 279   I3      Galaxy target flag          0 = not targeted as galaxy       1 = targeted as galaxy
  45   280 285   I6      SDSS Imaging Run Number for photometric measurements
  46   286 291   I6      Modified Julian Date of imaging observation
  47   292 297   I6      Modified Julian Date of spectroscopic observation
  48   298 302   I5      Spectroscopic Plate Number
  49   303 307   I5      Spectroscopic Fiber Number
  50   308 311   I4      SDSS Photometric Processing Rerun Number
  51   312 314   I3      SDSS Camera Column Number
  52   315 319   I5      SDSS Frame Number
  53   320 324   I5      SDSS Object Number
  54   325 336   I12     Target selection flag (TARGET)
  55   337 339   I3      Low-z Quasar (color selection only) target flag           0 = not targeted as low-z quasar        1 = targeted as low-z quasar
  56   340 342   I3      High-z Quasar (color selection only) target flag          0 = not targeted as high-z quasar       1 = targeted as high-z quasar
  57   343 345   I3      FIRST target flag           0 = not targeted as FIRST        1 = targeted as FIRST
  58   346 348   I3      ROSAT target flag           0 = not targeted as ROSAT        1 = targeted as ROSAT
  59   349 351   I3      Serendipity target flag     0 = not targeted as serendipity  1 = targeted as serendipity
  60   352 354   I3      Star target flag            0 = not targeted as star         1 = targeted as star
  61   355 357   I3      Galaxy target flag          0 = not targeted as galaxy       1 = targeted as galaxy
  62   358 364   F7.3    u PSF magnitude (TARGET)    0.000 ==> cannot retrieve value from SDSS database
  63   365 370   F6.3    error in u PSF magnitude (TARGET)
  64   371 377   F7.3    g PSF magnitude (TARGET)
  65   378 383   F6.3    error in g PSF magnitude (TARGET)
  66   384 390   F7.3    r PSF magnitude (TARGET)
  67   391 396   F6.3    error in r PSF magnitude (TARGET)
  68   397 403   F7.3    i PSF magnitude (TARGET)
  69   404 409   F6.3    error in i PSF magnitude (TARGET)
  70   410 416   F7.3    z PSF magnitude (TARGET)
  71   417 422   F6.3    error in z PSF magnitude (TARGET)
  72   423 443   I21     BestObjID (64-bit integer)
  73   444 464   I21     SpecObjID (64-bit integer)
  74   465 490   1X,A25  Object Name if previously published  ("SDSS" in this column indicates that the object is a previously published SDSS discovery)

         1              2          3        4     5      6     7      8     9     10    11     12    13     14     15     16     17      18     19       20    21     22     23    24     25    26     27    28     29   30   31      32   33 34 35 36      37     38 39 40 41 42 43 44   45    46    47    48   49  50 51   52   53       54    55 56 57 58 59 60 61    62    63     64    65     66    67     68    69     70    71             72                   73                74
      SDSS J          R.A. (2000)  Dec.     z         u            g            r            i            z        A_u  log NH  FIRST    S/N    "      ROSAT   S/N    "      2MASS J      2MASS H      2MASS K      "   Flg   M_i   D(g-i) Mp SP Bl Um  BEST Flag  Lz Hz FT RT Sr St Gx  Run  R_MJD S_MJD Plate Fib Prs Col Frm  Obj TARGET Flag Lz Hz FT RT Sr St Gx   u_TARGET     g_TARGET     r_TARGET     i_TARGET     z_TARGET          BestObjID            SpecObjID         Other Name
000006.53+003055.2   0.027228   0.515341 1.8246 20.384 0.065 20.461 0.034 20.324 0.038 20.093 0.041 20.042 0.121  0.130 20.508  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.109  0.091  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52203  685  467  41  5  108  118    34603008  0  0  0  0  1  0  0 20.384 0.065 20.461 0.034 20.324 0.038 20.093 0.041 20.042 0.121   588015509806252150   193034571183292416 SDSS J000006.53+003055.2 
000008.13+001634.6   0.033900   0.276301 1.8373 20.242 0.054 20.206 0.024 19.941 0.032 19.485 0.032 19.178 0.068  0.161 20.502  0.000   0.000  0.000  -9.000  0.000  0.000 17.351 0.291  0.000 0.000  0.000 0.000  0.000 18 -25.745  0.438  0  0  1  0    34603008  0  0  0  0  1  0  0  2662 52197 52203  685  470  40  4  283  150     1048576  0  0  0  0  1  0  0 20.094 0.044 19.980 0.017 19.852 0.020 19.405 0.021 19.100 0.079   587731186740822166   193034571195875328 SDSS J000008.13+001634.6 
000009.26+151754.5   0.038604  15.298477 1.1985 19.916 0.042 19.807 0.036 19.374 0.017 19.148 0.023 19.312 0.069  0.223 20.551 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.101  0.338  0  1  1  1     1048578  1  0  0  0  1  0  0  1739 51814 52251  751  354  40  4  303   24     1048578  1  0  0  0  1  0  0 19.912 0.037 19.770 0.024 19.393 0.018 19.173 0.019 19.353 0.070   587727222487318552   211612125330669568 SDSS J000009.26+151754.5 
000009.38+135618.4   0.039089  13.938450 2.2342 19.233 0.026 18.886 0.022 18.427 0.018 18.301 0.024 18.084 0.033  0.322 20.572 -1.000   0.000  0.000  -9.000  0.000  0.000 17.263 0.272  0.000 0.000  0.000 0.000  0.000 18 -27.443  0.426  0  1  1  1           2  1  0  0  0  0  0  0  1739 51814 52235  750   82  40  1  302  154           2  1  0  0  0  0  0  0 19.242 0.028 18.875 0.016 18.423 0.015 18.313 0.015 18.103 0.025   587727220876640410   211330580493631488 SDSS J000009.38+135618.4 
000009.42-102751.9   0.039271 -10.464426 1.8449 19.242 0.036 19.019 0.027 18.966 0.021 18.775 0.018 18.705 0.047  0.188 20.444  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.476 -0.057  0  1  1  0     1048578  1  0  0  0  1  0  0  1740 51814 52143  650  199  40  2   22   90     1048580  1  0  0  0  1  0  0 19.160 0.032 19.011 0.014 18.972 0.015 18.758 0.015 18.719 0.045   587727225690128474   183182688176308224 SDSS J000009.42-102751.8 
000011.41+145545.6   0.047549  14.929355 0.4597 19.647 0.030 19.465 0.024 19.368 0.022 19.193 0.025 19.015 0.047  0.208 20.559 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000 16.039 0.266  0.000  2 -22.729  0.055  0  1  1  1    34603008  0  0  0  0  1  0  0  1739 51814 52235  750  499  40  3  303   43     1048578  1  0  0  0  1  0  0 19.679 0.029 19.454 0.018 19.355 0.015 19.172 0.028 19.044 0.045   587727221950447659   211330582242656256 SDSS J000011.41+145545.6 
000011.96+000225.3   0.049839   0.040365 0.4789 18.228 0.027 17.934 0.020 17.995 0.019 17.934 0.014 17.873 0.029  0.161 20.502  0.000   0.000  0.000  -1.660  2.157  2.040 16.651 0.136 15.820 0.149 14.821 0.111  0.209 13 -24.068 -0.146  0  1  1  0   134224898  1  0  0  1  0  0  0  3325 52522 51791  387  200  41  4  108   19   134224900  1  0  0  1  0  0  0 17.835 0.011 17.580 0.004 17.695 0.005 17.646 0.006 17.660 0.024   588015509269381139   109153257477111808 LBQS 2357-0014           
000012.25-003220.5   0.051079  -0.539047 1.4365 20.404 0.068 20.499 0.032 20.247 0.028 20.135 0.037 20.367 0.160  0.215 20.512  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.542  0.040  0  0  1  0    33554432  0  0  0  0  0  0  0  2662 52197 52902 1091  129  40  2  283  146    33554432  0  0  0  0  0  0  0 20.404 0.068 20.499 0.032 20.247 0.028 20.135 0.037 20.367 0.160   587731185667080338   307316412492283904 SDSS J000012.25-003220.5 
000013.14+141034.6   0.054787  14.176303 0.9582 19.524 0.034 19.295 0.028 19.122 0.016 19.154 0.024 19.066 0.052  0.309 20.572 -1.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -24.592 -0.040  0  1  1  1     1048578  1  0  0  0  1  0  0  2566 52170 52235  750   98  40  2  309   51     1048578  1  0  0  0  1  0  0 19.528 0.036 19.296 0.013 19.129 0.027 19.175 0.018 19.102 0.050   587730773351923763   211330580560740352 SDSS J000013.14+141034.6 
000013.80-005446.8   0.057506  -0.913001 1.8499 20.539 0.063 20.219 0.034 20.058 0.027 19.592 0.030 19.459 0.075  0.212 20.517  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -25.675  0.320  0  0  1  0    33554432  0  0  0  0  0  0  0  2662 52197 52902 1091  108  40  1  283   25    33554432  0  0  0  0  0  0  0 20.539 0.063 20.219 0.034 20.058 0.027 19.592 0.030 19.459 0.075   587731185130209305   307316412404203520 SDSS J000013.80-005446.8 
000014.82-011030.7   0.061779  -1.175200 1.8877 19.479 0.038 19.360 0.032 19.313 0.022 19.138 0.025 19.164 0.062  0.185 20.521  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.165 -0.063  0  0  1  0           2  1  0  0  0  0  0  0  3325 52522 52203  685  198  41  1  108  108     1179648  0  0  0  0  1  1  0 19.268 0.029 19.190 0.013 19.185 0.015 19.079 0.021 18.987 0.068   588015507658768492   193034570055024640 SDSS J000014.82-011030.6 
000015.47+005246.8   0.064497   0.879677 1.8516 19.799 0.046 19.604 0.023 19.531 0.022 19.188 0.036 19.118 0.062  0.139 20.507  0.000   0.000  0.000  -9.000  0.000  0.000  0.000 0.000  0.000 0.000  0.000 0.000  0.000  0 -26.051  0.131  0  0  1  0    34603008  0  0  0  0  1  0  0  3325 52522 52203  685  439  41  6  108  161     1048576  0  0  0  0  1  0  0 19.944 0.055 19.683 0.018 19.654 0.022 19.329 0.027 19.184 0.085   588015510343123105   193034571065851904 SDSS J000015.47+005246.8 
